Macrotrends Data Download

India Population 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,376325200
1951-12-31,382376948,1.61
1952-12-31,388799073,1.68
1953-12-31,395544369,1.73
1954-12-31,402578596,1.78
1955-12-31,409880595,1.81
1956-12-31,417442811,1.84
1957-12-31,425270695,1.88
1958-12-31,433380978,1.91
1959-12-31,441798578,1.94
1960-12-31,450547679,1.98
1961-12-31,459642165,2.02
1962-12-31,469077190,2.05
1963-12-31,478825608,2.08
1964-12-31,488848135,2.09
1965-12-31,499123324,2.1
1966-12-31,509631500,2.11
1967-12-31,520400576,2.11
1968-12-31,531513824,2.14
1969-12-31,543084336,2.18
1970-12-31,555189792,2.23
1971-12-31,567868018,2.28
1972-12-31,581087256,2.33
1973-12-31,594770134,2.35
1974-12-31,608802600,2.36
1975-12-31,623102897,2.35
1976-12-31,637630087,2.33
1977-12-31,652408776,2.32
1978-12-31,667499806,2.31
1979-12-31,682995354,2.32
1980-12-31,698952844,2.34
1981-12-31,715384993,2.35
1982-12-31,732239504,2.36
1983-12-31,749428958,2.35
1984-12-31,766833410,2.32
1985-12-31,784360008,2.29
1986-12-31,801975244,2.25
1987-12-31,819682102,2.21
1988-12-31,837468930,2.17
1989-12-31,855334678,2.13
1990-12-31,873277798,2.1
1991-12-31,891273209,2.06
1992-12-31,909307016,2.02
1993-12-31,927403860,1.99
1994-12-31,945601831,1.96
1995-12-31,963922588,1.94
1996-12-31,982365243,1.91
1997-12-31,1000900030,1.89
1998-12-31,1019483581,1.86
1999-12-31,1038058156,1.82
2000-12-31,1056575549,1.78
2001-12-31,1075000085,1.74
2002-12-31,1093317189,1.7
2003-12-31,1111523144,1.67
2004-12-31,1129623456,1.63
2005-12-31,1147609927,1.59
2006-12-31,1165486291,1.56
2007-12-31,1183209472,1.52
2008-12-31,1200669765,1.48
2009-12-31,1217726215,1.42
2010-12-31,1234281170,1.36
2011-12-31,1250287943,1.3
2012-12-31,1265780247,1.24
2013-12-31,1280842125,1.19
2014-12-31,1295600772,1.15
2015-12-31,1310152403,1.12
2016-12-31,1324517249,1.1
2017-12-31,1338676785,1.07
2018-12-31,1352642280,1.04
2019-12-31,1366417754,1.02
2020-12-31,1380004385,0.99
2021-12-31,1393409038,0.97
2022-12-31,1406631776,0.95
2023-12-31,1419655806,0.93
2024-12-31,1432456478,0.9
2025-12-31,1445011620,0.88
2026-12-31,1457308855,0.85
2027-12-31,1469338565,0.83
2028-12-31,1481083338,0.8
2029-12-31,1492524282,0.77
2030-12-31,1503642322,0.74
2031-12-31,1514427165,0.72
2032-12-31,1524862017,0.69
2033-12-31,1534913987,0.66
2034-12-31,1544544364,0.63
2035-12-31,1553723810,0.59
2036-12-31,1562439265,0.56
2037-12-31,1570690442,0.53
2038-12-31,1578478179,0.5
2039-12-31,1585809320,0.46
2040-12-31,1592691513,0.43
2041-12-31,1599124104,0.4
2042-12-31,1605111260,0.37
2043-12-31,1610672883,0.35
2044-12-31,1615834993,0.32
2045-12-31,1620619200,0.3
2046-12-31,1625034122,0.27
2047-12-31,1629084506,0.25
2048-12-31,1632783289,0.23
2049-12-31,1636143733,0.21
2050-12-31,1639176033,0.19
2051-12-31,1641888192,0.17
2052-12-31,1644282548,0.15
2053-12-31,1646355875,0.13
2054-12-31,1648101163,0.11
2055-12-31,1649513160,0.09
2056-12-31,1650592755,0.07
2057-12-31,1651342441,0.05
2058-12-31,1651760133,0.03
2059-12-31,1651843113,0.01
2060-12-31,1651589528,-0.02
2061-12-31,1651001679,-0.04
2062-12-31,1650080986,-0.06
2063-12-31,1648824112,-0.08
2064-12-31,1647226611,-0.1
2065-12-31,1645287234,-0.12
2066-12-31,1643009777,-0.14
2067-12-31,1640402427,-0.16
2068-12-31,1637474664,-0.18
2069-12-31,1634238372,-0.2
2070-12-31,1630705925,-0.22
2071-12-31,1626886097,-0.23
2072-12-31,1622790158,-0.25
2073-12-31,1618436680,-0.27
2074-12-31,1613847123,-0.28
2075-12-31,1609040631,-0.3
2076-12-31,1604031514,-0.31
2077-12-31,1598830751,-0.32
2078-12-31,1593450148,-0.34
2079-12-31,1587900578,-0.35
2080-12-31,1582193255,-0.36
2081-12-31,1576338459,-0.37
2082-12-31,1570348764,-0.38
2083-12-31,1564240054,-0.39
2084-12-31,1558029596,-0.4
2085-12-31,1551731747,-0.4
2086-12-31,1545358107,-0.41
2087-12-31,1538914873,-0.42
2088-12-31,1532403986,-0.42
2089-12-31,1525824204,-0.43
2090-12-31,1519176268,-0.44
2091-12-31,1512464720,-0.44
2092-12-31,1505697184,-0.45
2093-12-31,1498882983,-0.45
2094-12-31,1492031487,-0.46
2095-12-31,1485150516,-0.46
2096-12-31,1478245816,-0.46
2097-12-31,1471320763,-0.47
2098-12-31,1464376278,-0.47
2099-12-31,1457410912,-0.48
2100-12-31,1450420839,-0.48
