Macrotrends Data Download

India Death Rate 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Deaths per 1000 People, Annual % Change
1950-12-31,28.161
1951-12-31,27.584,-2.05
1952-12-31,27.008,-2.09
1953-12-31,26.432,-2.13
1954-12-31,25.856,-2.18
1955-12-31,25.28,-2.23
1956-12-31,24.703,-2.28
1957-12-31,24.127,-2.33
1958-12-31,23.551,-2.39
1959-12-31,23.016,-2.27
1960-12-31,22.481,-2.32
1961-12-31,21.946,-2.38
1962-12-31,21.411,-2.44
1963-12-31,20.876,-2.5
1964-12-31,20.374,-2.4
1965-12-31,19.873,-2.46
1966-12-31,19.371,-2.53
1967-12-31,18.87,-2.59
1968-12-31,18.368,-2.66
1969-12-31,17.911,-2.49
1970-12-31,17.454,-2.55
1971-12-31,16.997,-2.62
1972-12-31,16.54,-2.69
1973-12-31,16.083,-2.76
1974-12-31,15.676,-2.53
1975-12-31,15.269,-2.6
1976-12-31,14.862,-2.67
1977-12-31,14.455,-2.74
1978-12-31,14.048,-2.82
1979-12-31,13.773,-1.96
1980-12-31,13.498,-2
1981-12-31,13.223,-2.04
1982-12-31,12.948,-2.08
1983-12-31,12.673,-2.12
1984-12-31,12.451,-1.75
1985-12-31,12.229,-1.78
1986-12-31,12.008,-1.81
1987-12-31,11.786,-1.85
1988-12-31,11.564,-1.88
1989-12-31,11.286,-2.4
1990-12-31,11.007,-2.47
1991-12-31,10.729,-2.53
1992-12-31,10.45,-2.6
1993-12-31,10.172,-2.66
1994-12-31,9.956,-2.12
1995-12-31,9.739,-2.18
1996-12-31,9.523,-2.22
1997-12-31,9.306,-2.28
1998-12-31,9.09,-2.32
1999-12-31,8.947,-1.57
2000-12-31,8.804,-1.6
2001-12-31,8.661,-1.62
2002-12-31,8.518,-1.65
2003-12-31,8.375,-1.68
2004-12-31,8.261,-1.36
2005-12-31,8.147,-1.38
2006-12-31,8.034,-1.39
2007-12-31,7.92,-1.42
2008-12-31,7.806,-1.44
2009-12-31,7.697,-1.4
2010-12-31,7.589,-1.4
2011-12-31,7.48,-1.44
2012-12-31,7.372,-1.44
2013-12-31,7.263,-1.48
2014-12-31,7.258,-0.07
2015-12-31,7.253,-0.07
2016-12-31,7.247,-0.08
2017-12-31,7.242,-0.07
2018-12-31,7.237,-0.07
2019-12-31,7.273,0.5
2020-12-31,7.309,0.49
2021-12-31,7.344,0.48
2022-12-31,7.38,0.49
2023-12-31,7.416,0.49
2024-12-31,7.473,0.77
2025-12-31,7.53,0.76
2026-12-31,7.588,0.77
2027-12-31,7.645,0.75
2028-12-31,7.702,0.75
2029-12-31,7.778,0.99
2030-12-31,7.853,0.96
2031-12-31,7.929,0.97
2032-12-31,8.004,0.95
2033-12-31,8.08,0.95
2034-12-31,8.17,1.11
2035-12-31,8.261,1.11
2036-12-31,8.351,1.09
2037-12-31,8.442,1.09
2038-12-31,8.532,1.07
2039-12-31,8.631,1.16
2040-12-31,8.731,1.16
2041-12-31,8.83,1.13
2042-12-31,8.93,1.13
2043-12-31,9.029,1.11
2044-12-31,9.134,1.16
2045-12-31,9.239,1.15
2046-12-31,9.343,1.13
2047-12-31,9.448,1.12
2048-12-31,9.553,1.11
2049-12-31,9.666,1.18
2050-12-31,9.779,1.17
2051-12-31,9.892,1.16
2052-12-31,10.005,1.14
2053-12-31,10.118,1.13
2054-12-31,10.236,1.17
2055-12-31,10.355,1.16
2056-12-31,10.473,1.14
2057-12-31,10.592,1.14
2058-12-31,10.71,1.11
2059-12-31,10.833,1.15
2060-12-31,10.957,1.14
2061-12-31,11.08,1.12
2062-12-31,11.204,1.12
2063-12-31,11.327,1.1
2064-12-31,11.446,1.05
2065-12-31,11.565,1.04
2066-12-31,11.683,1.02
2067-12-31,11.802,1.02
2068-12-31,11.921,1.01
2069-12-31,12.03,0.91
2070-12-31,12.138,0.9
2071-12-31,12.247,0.9
2072-12-31,12.355,0.88
2073-12-31,12.464,0.88
2074-12-31,12.556,0.74
2075-12-31,12.647,0.72
2076-12-31,12.739,0.73
2077-12-31,12.83,0.71
2078-12-31,12.922,0.72
2079-12-31,12.993,0.55
2080-12-31,13.064,0.55
2081-12-31,13.136,0.55
2082-12-31,13.207,0.54
2083-12-31,13.278,0.54
2084-12-31,13.328,0.38
2085-12-31,13.378,0.38
2086-12-31,13.428,0.37
2087-12-31,13.478,0.37
2088-12-31,13.528,0.37
2089-12-31,13.562,0.25
2090-12-31,13.595,0.24
2091-12-31,13.629,0.25
2092-12-31,13.662,0.24
2093-12-31,13.696,0.25
2094-12-31,13.709,0.09
2095-12-31,13.721,0.09
2096-12-31,13.734,0.09
2097-12-31,13.746,0.09
2098-12-31,13.759,0.09
2099-12-31,13.772,0.09
2100-12-31,13.784,0.09
