Macrotrends Data Download

India Fertility Rate 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Births per Woman, Annual % Change
1950-12-31,5.907
1951-12-31,5.906,-0.02
1952-12-31,5.904,-0.03
1953-12-31,5.903,-0.02
1954-12-31,5.902,-0.02
1955-12-31,5.9,-0.03
1956-12-31,5.899,-0.02
1957-12-31,5.897,-0.03
1958-12-31,5.896,-0.02
1959-12-31,5.895,-0.02
1960-12-31,5.894,-0.02
1961-12-31,5.892,-0.03
1962-12-31,5.891,-0.02
1963-12-31,5.89,-0.02
1964-12-31,5.857,-0.56
1965-12-31,5.823,-0.58
1966-12-31,5.79,-0.57
1967-12-31,5.756,-0.59
1968-12-31,5.723,-0.57
1969-12-31,5.66,-1.1
1970-12-31,5.598,-1.1
1971-12-31,5.535,-1.13
1972-12-31,5.473,-1.12
1973-12-31,5.41,-1.15
1974-12-31,5.323,-1.61
1975-12-31,5.236,-1.63
1976-12-31,5.148,-1.68
1977-12-31,5.061,-1.69
1978-12-31,4.974,-1.72
1979-12-31,4.916,-1.17
1980-12-31,4.857,-1.2
1981-12-31,4.799,-1.19
1982-12-31,4.74,-1.23
1983-12-31,4.682,-1.22
1984-12-31,4.599,-1.77
1985-12-31,4.516,-1.8
1986-12-31,4.432,-1.86
1987-12-31,4.349,-1.87
1988-12-31,4.266,-1.91
1989-12-31,4.179,-2.04
1990-12-31,4.093,-2.06
1991-12-31,4.006,-2.13
1992-12-31,3.92,-2.15
1993-12-31,3.833,-2.22
1994-12-31,3.763,-1.83
1995-12-31,3.693,-1.86
1996-12-31,3.623,-1.9
1997-12-31,3.553,-1.93
1998-12-31,3.483,-1.97
1999-12-31,3.414,-1.98
2000-12-31,3.346,-1.99
2001-12-31,3.277,-2.06
2002-12-31,3.209,-2.08
2003-12-31,3.14,-2.15
2004-12-31,3.071,-2.2
2005-12-31,3.002,-2.25
2006-12-31,2.934,-2.27
2007-12-31,2.865,-2.35
2008-12-31,2.796,-2.41
2009-12-31,2.716,-2.86
2010-12-31,2.636,-2.95
2011-12-31,2.556,-3.03
2012-12-31,2.476,-3.13
2013-12-31,2.396,-3.23
2014-12-31,2.365,-1.29
2015-12-31,2.334,-1.31
2016-12-31,2.302,-1.37
2017-12-31,2.271,-1.35
2018-12-31,2.24,-1.37
2019-12-31,2.22,-0.89
2020-12-31,2.2,-0.9
2021-12-31,2.179,-0.95
2022-12-31,2.159,-0.92
2023-12-31,2.139,-0.93
2024-12-31,2.122,-0.79
2025-12-31,2.105,-0.8
2026-12-31,2.088,-0.81
2027-12-31,2.071,-0.81
2028-12-31,2.054,-0.82
2029-12-31,2.04,-0.68
2030-12-31,2.025,-0.74
2031-12-31,2.011,-0.69
2032-12-31,1.996,-0.75
2033-12-31,1.982,-0.7
2034-12-31,1.969,-0.66
2035-12-31,1.956,-0.66
2036-12-31,1.942,-0.72
2037-12-31,1.929,-0.67
2038-12-31,1.916,-0.67
2039-12-31,1.905,-0.57
2040-12-31,1.894,-0.58
2041-12-31,1.884,-0.53
2042-12-31,1.873,-0.58
2043-12-31,1.862,-0.59
2044-12-31,1.854,-0.43
2045-12-31,1.846,-0.43
2046-12-31,1.837,-0.49
2047-12-31,1.829,-0.44
2048-12-31,1.821,-0.44
2049-12-31,1.814,-0.38
2050-12-31,1.808,-0.33
2051-12-31,1.801,-0.39
2052-12-31,1.795,-0.33
2053-12-31,1.788,-0.39
2054-12-31,1.782,-0.34
2055-12-31,1.777,-0.28
2056-12-31,1.771,-0.34
2057-12-31,1.766,-0.28
2058-12-31,1.76,-0.34
2059-12-31,1.757,-0.17
2060-12-31,1.753,-0.23
2061-12-31,1.75,-0.17
2062-12-31,1.746,-0.23
2063-12-31,1.743,-0.17
2064-12-31,1.74,-0.17
2065-12-31,1.737,-0.17
2066-12-31,1.734,-0.17
2067-12-31,1.731,-0.17
2068-12-31,1.728,-0.17
2069-12-31,1.726,-0.12
2070-12-31,1.724,-0.12
2071-12-31,1.722,-0.12
2072-12-31,1.72,-0.12
2073-12-31,1.718,-0.12
2074-12-31,1.717,-0.06
2075-12-31,1.716,-0.06
2076-12-31,1.716,0
2077-12-31,1.715,-0.06
2078-12-31,1.714,-0.06
2079-12-31,1.713,-0.06
2080-12-31,1.712,-0.06
2081-12-31,1.711,-0.06
2082-12-31,1.71,-0.06
2083-12-31,1.709,-0.06
2084-12-31,1.709,0
2085-12-31,1.71,0.06
2086-12-31,1.71,0
2087-12-31,1.711,0.06
2088-12-31,1.711,0
2089-12-31,1.711,0
2090-12-31,1.711,0
2091-12-31,1.712,0.06
2092-12-31,1.712,0
2093-12-31,1.712,0
2094-12-31,1.712,0
2095-12-31,1.713,0.06
2096-12-31,1.713,0
2097-12-31,1.714,0.06
2098-12-31,1.714,0
2099-12-31,1.714,0
2100-12-31,1.715,0.06
