Macrotrends Data Download

India Infant Mortality Rate 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Deaths per 1000 Live Births, Annual % Change
1950-12-31,189.629
1951-12-31,186.737,-1.53
1952-12-31,183.846,-1.55
1953-12-31,180.954,-1.57
1954-12-31,178.062,-1.6
1955-12-31,175.171,-1.62
1956-12-31,172.279,-1.65
1957-12-31,169.388,-1.68
1958-12-31,166.496,-1.71
1959-12-31,164.119,-1.43
1960-12-31,161.742,-1.45
1961-12-31,159.366,-1.47
1962-12-31,156.989,-1.49
1963-12-31,154.612,-1.51
1964-12-31,152.851,-1.14
1965-12-31,151.091,-1.15
1966-12-31,149.33,-1.17
1967-12-31,147.57,-1.18
1968-12-31,145.809,-1.19
1969-12-31,143.815,-1.37
1970-12-31,141.822,-1.39
1971-12-31,139.828,-1.41
1972-12-31,137.835,-1.43
1973-12-31,135.841,-1.45
1974-12-31,132.832,-2.22
1975-12-31,129.824,-2.26
1976-12-31,126.815,-2.32
1977-12-31,123.807,-2.37
1978-12-31,120.798,-2.43
1979-12-31,117.771,-2.51
1980-12-31,114.743,-2.57
1981-12-31,111.716,-2.64
1982-12-31,108.688,-2.71
1983-12-31,105.661,-2.79
1984-12-31,103.178,-2.35
1985-12-31,100.695,-2.41
1986-12-31,98.213,-2.46
1987-12-31,95.73,-2.53
1988-12-31,93.247,-2.59
1989-12-31,91.019,-2.39
1990-12-31,88.791,-2.45
1991-12-31,86.564,-2.51
1992-12-31,84.336,-2.57
1993-12-31,82.108,-2.64
1994-12-31,79.936,-2.65
1995-12-31,77.764,-2.72
1996-12-31,75.591,-2.79
1997-12-31,73.419,-2.87
1998-12-31,71.247,-2.96
1999-12-31,68.988,-3.17
2000-12-31,66.729,-3.27
2001-12-31,64.471,-3.38
2002-12-31,62.212,-3.5
2003-12-31,59.953,-3.63
2004-12-31,57.854,-3.5
2005-12-31,55.755,-3.63
2006-12-31,53.655,-3.77
2007-12-31,51.556,-3.91
2008-12-31,49.457,-4.07
2009-12-31,47.382,-4.2
2010-12-31,45.307,-4.38
2011-12-31,43.232,-4.58
2012-12-31,41.157,-4.8
2013-12-31,39.082,-5.04
2014-12-31,37.666,-3.62
2015-12-31,36.249,-3.76
2016-12-31,34.833,-3.91
2017-12-31,33.416,-4.07
2018-12-31,32,-4.24
2019-12-31,30.924,-3.36
2020-12-31,29.848,-3.48
2021-12-31,28.771,-3.61
2022-12-31,27.695,-3.74
2023-12-31,26.619,-3.89
2024-12-31,25.799,-3.08
2025-12-31,24.979,-3.18
2026-12-31,24.16,-3.28
2027-12-31,23.34,-3.39
2028-12-31,22.52,-3.51
2029-12-31,21.899,-2.76
2030-12-31,21.279,-2.83
2031-12-31,20.658,-2.92
2032-12-31,20.038,-3
2033-12-31,19.417,-3.1
2034-12-31,18.928,-2.52
2035-12-31,18.439,-2.58
2036-12-31,17.95,-2.65
2037-12-31,17.461,-2.72
2038-12-31,16.972,-2.8
2039-12-31,16.57,-2.37
2040-12-31,16.168,-2.43
2041-12-31,15.765,-2.49
2042-12-31,15.363,-2.55
2043-12-31,14.961,-2.62
2044-12-31,14.623,-2.26
2045-12-31,14.285,-2.31
2046-12-31,13.948,-2.36
2047-12-31,13.61,-2.42
2048-12-31,13.272,-2.48
2049-12-31,12.987,-2.15
2050-12-31,12.702,-2.19
2051-12-31,12.416,-2.25
2052-12-31,12.131,-2.3
2053-12-31,11.846,-2.35
2054-12-31,11.599,-2.09
2055-12-31,11.353,-2.12
2056-12-31,11.106,-2.18
2057-12-31,10.86,-2.22
2058-12-31,10.613,-2.27
2059-12-31,10.404,-1.97
2060-12-31,10.196,-2
2061-12-31,9.987,-2.05
2062-12-31,9.779,-2.08
2063-12-31,9.57,-2.14
2064-12-31,9.394,-1.84
2065-12-31,9.218,-1.87
2066-12-31,9.041,-1.92
2067-12-31,8.865,-1.95
2068-12-31,8.689,-1.99
2069-12-31,8.534,-1.78
2070-12-31,8.379,-1.82
2071-12-31,8.225,-1.84
2072-12-31,8.07,-1.88
2073-12-31,7.915,-1.92
2074-12-31,7.779,-1.72
2075-12-31,7.643,-1.75
2076-12-31,7.508,-1.77
2077-12-31,7.372,-1.81
2078-12-31,7.236,-1.84
2079-12-31,7.122,-1.58
2080-12-31,7.008,-1.6
2081-12-31,6.894,-1.63
2082-12-31,6.78,-1.65
2083-12-31,6.666,-1.68
2084-12-31,6.566,-1.5
2085-12-31,6.466,-1.52
2086-12-31,6.365,-1.56
2087-12-31,6.265,-1.57
2088-12-31,6.165,-1.6
2089-12-31,6.078,-1.41
2090-12-31,5.991,-1.43
2091-12-31,5.905,-1.44
2092-12-31,5.818,-1.47
2093-12-31,5.731,-1.5
2094-12-31,5.651,-1.4
2095-12-31,5.571,-1.42
2096-12-31,5.492,-1.42
2097-12-31,5.412,-1.46
2098-12-31,5.332,-1.48
2099-12-31,5.252,-1.5
2100-12-31,5.172,-1.52
