Macrotrends Data Download

India Life Expectancy 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Life Expectancy from Birth (Years), Annual % Change
1950-12-31,35.21
1951-12-31,35.8,1.68
1952-12-31,36.39,1.65
1953-12-31,36.98,1.62
1954-12-31,37.57,1.6
1955-12-31,38.16,1.57
1956-12-31,38.75,1.55
1957-12-31,39.34,1.52
1958-12-31,39.93,1.5
1959-12-31,40.532,1.51
1960-12-31,41.134,1.49
1961-12-31,41.736,1.46
1962-12-31,42.338,1.44
1963-12-31,42.94,1.42
1964-12-31,43.572,1.47
1965-12-31,44.204,1.45
1966-12-31,44.836,1.43
1967-12-31,45.468,1.41
1968-12-31,46.1,1.39
1969-12-31,46.754,1.42
1970-12-31,47.408,1.4
1971-12-31,48.062,1.38
1972-12-31,48.716,1.36
1973-12-31,49.37,1.34
1974-12-31,49.998,1.27
1975-12-31,50.626,1.26
1976-12-31,51.254,1.24
1977-12-31,51.882,1.23
1978-12-31,52.51,1.21
1979-12-31,52.99,0.91
1980-12-31,53.47,0.91
1981-12-31,53.95,0.9
1982-12-31,54.43,0.89
1983-12-31,54.91,0.88
1984-12-31,55.266,0.65
1985-12-31,55.622,0.64
1986-12-31,55.978,0.64
1987-12-31,56.334,0.64
1988-12-31,56.69,0.63
1989-12-31,57.176,0.86
1990-12-31,57.662,0.85
1991-12-31,58.148,0.84
1992-12-31,58.634,0.84
1993-12-31,59.12,0.83
1994-12-31,59.59,0.79
1995-12-31,60.06,0.79
1996-12-31,60.53,0.78
1997-12-31,61,0.78
1998-12-31,61.47,0.77
1999-12-31,61.876,0.66
2000-12-31,62.282,0.66
2001-12-31,62.688,0.65
2002-12-31,63.094,0.65
2003-12-31,63.5,0.64
2004-12-31,63.906,0.64
2005-12-31,64.312,0.64
2006-12-31,64.718,0.63
2007-12-31,65.124,0.63
2008-12-31,65.53,0.62
2009-12-31,65.978,0.68
2010-12-31,66.426,0.68
2011-12-31,66.874,0.67
2012-12-31,67.322,0.67
2013-12-31,67.77,0.67
2014-12-31,68.07,0.44
2015-12-31,68.37,0.44
2016-12-31,68.67,0.44
2017-12-31,68.97,0.44
2018-12-31,69.27,0.43
2019-12-31,69.5,0.33
2020-12-31,69.73,0.33
2021-12-31,69.96,0.33
2022-12-31,70.19,0.33
2023-12-31,70.42,0.33
2024-12-31,70.622,0.29
2025-12-31,70.824,0.29
2026-12-31,71.026,0.29
2027-12-31,71.228,0.28
2028-12-31,71.43,0.28
2029-12-31,71.608,0.25
2030-12-31,71.786,0.25
2031-12-31,71.964,0.25
2032-12-31,72.142,0.25
2033-12-31,72.32,0.25
2034-12-31,72.48,0.22
2035-12-31,72.64,0.22
2036-12-31,72.8,0.22
2037-12-31,72.96,0.22
2038-12-31,73.12,0.22
2039-12-31,73.274,0.21
2040-12-31,73.428,0.21
2041-12-31,73.582,0.21
2042-12-31,73.736,0.21
2043-12-31,73.89,0.21
2044-12-31,74.036,0.2
2045-12-31,74.182,0.2
2046-12-31,74.328,0.2
2047-12-31,74.474,0.2
2048-12-31,74.62,0.2
2049-12-31,74.764,0.19
2050-12-31,74.908,0.19
2051-12-31,75.052,0.19
2052-12-31,75.196,0.19
2053-12-31,75.34,0.19
2054-12-31,75.482,0.19
2055-12-31,75.624,0.19
2056-12-31,75.766,0.19
2057-12-31,75.908,0.19
2058-12-31,76.05,0.19
2059-12-31,76.19,0.18
2060-12-31,76.33,0.18
2061-12-31,76.47,0.18
2062-12-31,76.61,0.18
2063-12-31,76.75,0.18
2064-12-31,76.89,0.18
2065-12-31,77.03,0.18
2066-12-31,77.17,0.18
2067-12-31,77.31,0.18
2068-12-31,77.45,0.18
2069-12-31,77.592,0.18
2070-12-31,77.734,0.18
2071-12-31,77.876,0.18
2072-12-31,78.018,0.18
2073-12-31,78.16,0.18
2074-12-31,78.3,0.18
2075-12-31,78.44,0.18
2076-12-31,78.58,0.18
2077-12-31,78.72,0.18
2078-12-31,78.86,0.18
2079-12-31,79.002,0.18
2080-12-31,79.144,0.18
2081-12-31,79.286,0.18
2082-12-31,79.428,0.18
2083-12-31,79.57,0.18
2084-12-31,79.712,0.18
2085-12-31,79.854,0.18
2086-12-31,79.996,0.18
2087-12-31,80.138,0.18
2088-12-31,80.28,0.18
2089-12-31,80.42,0.17
2090-12-31,80.56,0.17
2091-12-31,80.7,0.17
2092-12-31,80.84,0.17
2093-12-31,80.98,0.17
2094-12-31,81.12,0.17
2095-12-31,81.26,0.17
2096-12-31,81.4,0.17
2097-12-31,81.54,0.17
2098-12-31,81.68,0.17
2099-12-31,81.82,0.17
2100-12-31,81.96,0.17
