Macrotrends Data Download

India Rural Population 1960-2020


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Population, % of Total, Change
date, Rural Population, % of Total, Annual % Change
1960-12-31,369791513,82.076,1.877
1961-12-31,376759490,81.968,1.8668
1962-12-31,383620708,81.782,1.8047
1963-12-31,390697755,81.595,1.828
1964-12-31,397946824,81.405,1.8384
1965-12-31,405363008,81.215,1.8465
1966-12-31,412918730,81.023,1.8468
1967-12-31,420634582,80.829,1.8514
1968-12-31,428580857,80.634,1.8715
1969-12-31,436846178,80.438,1.9102
1970-12-31,445484289,80.24,1.9581
1971-12-31,454345523,80.009,1.9696
1972-12-31,463004515,79.679,1.8879
1973-12-31,471932258,79.347,1.9099
1974-12-31,481008846,79.009,1.905
1975-12-31,490182587,78.668,1.8892
1976-12-31,499411013,78.323,1.8651
1977-12-31,508709219,77.974,1.8447
1978-12-31,518120024,77.621,1.833
1979-12-31,527709530,77.264,1.8339
1980-12-31,537508716,76.902,1.8399
1981-12-31,547863289,76.583,1.9081
1982-12-31,559086828,76.353,2.0279
1983-12-31,570472817,76.121,2.0161
1984-12-31,581926870,75.887,1.9879
1985-12-31,593384033,75.652,1.9497
1986-12-31,604809630,75.415,1.9072
1987-12-31,616212414,75.177,1.8678
1988-12-31,627574092,74.937,1.827
1989-12-31,638892238,74.695,1.7874
1990-12-31,650181519,74.453,1.7516
1991-12-31,661520801,74.222,1.729
1992-12-31,673032681,74.016,1.7252
1993-12-31,684507515,73.809,1.6906
1994-12-31,695972404,73.601,1.661
1995-12-31,707451705,73.393,1.6359
1996-12-31,718924356,73.183,1.6087
1997-12-31,730376770,72.972,1.5804
1998-12-31,741776254,72.76,1.5487
1999-12-31,753080050,72.547,1.5124
2000-12-31,764252792,72.333,1.4727
2001-12-31,774881561,72.082,1.3812
2002-12-31,784520682,71.756,1.2363
2003-12-31,793938751,71.428,1.1933
2004-12-31,803128389,71.097,1.1508
2005-12-31,812106165,70.765,1.1116
2006-12-31,820863650,70.431,1.0726
2007-12-31,829358847,70.094,1.0296
2008-12-31,837515188,69.754,0.9786
2009-12-31,845260298,69.413,0.9205
2010-12-31,852518004,69.07,0.855
2011-12-31,859248426,68.724,0.7864
2012-12-31,865365062,68.366,0.7093
2013-12-31,870936942,67.997,0.6418
2014-12-31,876035725,67.616,0.5837
2015-12-31,880723750,67.223,0.5337
2016-12-31,885010817,66.818,0.4856
2017-12-31,888869466,66.4,0.4351
2018-12-31,892321651,65.97,0.3876
