Macrotrends Data Download

India Urban Population 1960-2020


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Population, % of Total, Change
date, Urban Population, % of Total, Annual % Change
1960-12-31,80756166,17.924,2.3467
1961-12-31,82882675,18.032,2.5992
1962-12-31,85456482,18.218,3.0581
1963-12-31,88127853,18.405,3.0781
1964-12-31,90901311,18.595,3.0986
1965-12-31,93760316,18.785,3.0967
1966-12-31,96712770,18.977,3.1004
1967-12-31,99765994,19.171,3.1082
1968-12-31,102932967,19.366,3.1251
1969-12-31,106238158,19.562,3.1605
1970-12-31,109705503,19.76,3.2116
1971-12-31,113522495,19.991,3.4201
1972-12-31,118082741,20.321,3.9385
1973-12-31,122837876,20.653,3.948
1974-12-31,127793754,20.991,3.9552
1975-12-31,132920310,21.332,3.9332
1976-12-31,138219074,21.677,3.909
1977-12-31,143699557,22.026,3.8885
1978-12-31,149379782,22.379,3.8767
1979-12-31,155285824,22.736,3.8776
1980-12-31,161444128,23.098,3.8892
1981-12-31,167521704,23.417,3.6954
1982-12-31,173152676,23.647,3.3061
1983-12-31,178956141,23.879,3.2967
1984-12-31,184906540,24.113,3.271
1985-12-31,190975975,24.348,3.2297
1986-12-31,197165614,24.585,3.1896
1987-12-31,203469688,24.823,3.1473
1988-12-31,209894838,25.063,3.109
1989-12-31,216442440,25.305,3.0718
1990-12-31,223096279,25.547,3.0279
1991-12-31,229752408,25.778,2.9399
1992-12-31,236274335,25.984,2.7991
1993-12-31,242896345,26.191,2.7641
1994-12-31,249629427,26.399,2.7343
1995-12-31,256470883,26.607,2.7038
1996-12-31,263440887,26.817,2.6814
1997-12-31,270523260,27.028,2.6529
1998-12-31,277707327,27.24,2.621
1999-12-31,284978106,27.453,2.5845
2000-12-31,292322757,27.667,2.5446
2001-12-31,300118524,27.918,2.6319
2002-12-31,308796507,28.244,2.8505
2003-12-31,317584393,28.572,2.8061
2004-12-31,326495067,28.903,2.7671
2005-12-31,335503762,29.235,2.7218
2006-12-31,344622641,29.569,2.6817
2007-12-31,353850625,29.906,2.6425
2008-12-31,363154577,30.246,2.5954
2009-12-31,372465917,30.587,2.5317
2010-12-31,381763166,30.93,2.4655
2011-12-31,391040303,31.276,2.401
2012-12-31,400417728,31.634,2.3698
2013-12-31,409909187,32.003,2.3427
2014-12-31,419568459,32.384,2.3291
2015-12-31,429428653,32.777,2.3229
2016-12-31,439498772,33.182,2.3179
2017-12-31,449789369,33.6,2.3144
2018-12-31,460295677,34.03,2.309
